Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00238348665372786,-0.125000000553057,0.0212109386462722,0,0,0,0.884228515493409,0.00144829165350996,1.60519492993308E-10,3.5912954700143E-05,0.0011482128838577,1.93591518860625E-11,0.00203715547793105,0,0,0,0,0,0,package://mark_fbj4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_fbj4/meshes/base_link.STL,,cube-1;axis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,1.38777878078145E-17,1.73472347597681E-18,-0.01,0,0,0,0.0999654782372272,4.35432962288322E-05,-2.6386211656956E-37,-4.41162993361574E-24,4.35432962288322E-05,-4.59177480789955E-38,8.04222272418493E-05,0,0,0,0,0,0,package://mark_fbj4/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_fbj4/meshes/right_wheel.STL,,cylinder-1,Origin_right_wheel_joint,Axis_left_wheel_joint,right_wheel_joint,continuous,-0.023709,-0.055,0.01262,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
left_wheel,-3.46944695195361E-18,1.73472347597681E-18,0.00999999999999995,0,0,0,0.0999654782372272,4.35432962288322E-05,-2.6386211656956E-37,5.60277001569247E-22,4.35432962288322E-05,-9.18354961579919E-38,8.04222272418493E-05,0,0,0,0,0,0,package://mark_fbj4/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mark_fbj4/meshes/left_wheel.STL,,cylinder-2,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.023709,-0.195,0.01262,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
sensor_link,0.034608,-0.040588,0.017736,0,0,0,0.077493,4.1051E-05,-6.7763E-21,7.9302E-21,4.1051E-05,1.8696E-19,6.5429E-05,0,0,0,0,0,0,package://mark_fbj4/meshes/sensor_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mark_fbj4/meshes/sensor_link.STL,,sensor1-1,Origin_sensor_link_joint,Axis_sensor_link_joint,sensor_link_joint,prismatic,-0.033879,-0.078327,0.052577,0.00046163,-0.0042301,-0.1087,base_link,0.10849,-0.9941,0,0,0,0,0,,,,,,,,
camera_link,0.0275,-0.025999,-0.00022127,0,0,0,0.0062137,1.4302E-07,-1.596E-23,2.541E-22,1.5152E-06,6.5306E-10,1.4385E-06,0,0,0,0,0,0,package://mark_fbj4/meshes/camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mark_fbj4/meshes/camera_link.STL,,camera-1,Origin_camera_link_joint,Axis_camera_link_joint,camera_link_joint,prismatic,-0.088751,-0.095601,0.022343,3.1373,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
